*****************************
Basic coeficients
*****************************
Alpha, Cd
   16.00    ,   -.3898E-02
   18.00    ,   -.3898E-02
   19.00    ,   -.3898E-02
   20.00    ,   -.3898E-02
   21.00    ,   -.3898E-02
   22.00    ,   -.3898E-02
   24.00    ,   -.3898E-02

Alpha, Cnb
  -16.00    ,    .6403E-03
  -8.000    ,    .6403E-03
  -6.000    ,    .6403E-03
  -4.000    ,    .6403E-03
  -2.000    ,    .6403E-03
    .000    ,    .6403E-03
   2.000    ,    .6403E-03
   4.000    ,    .6403E-03
   8.000    ,    .6403E-03
   9.000    ,    .6403E-03
   10.00    ,    .6403E-03
   12.00    ,    .6403E-03
   14.00    ,    .6403E-03
   16.00    ,    .6403E-03
   18.00    ,    .6403E-03
   19.00    ,    .6403E-03
   20.00    ,    .6403E-03
   21.00    ,    .6403E-03
   22.00    ,    .6403E-03
   24.00    ,    .6403E-03

Alpha, Clb
  -16.00    ,   -.1224E-02
  -8.000    ,   -.1221E-02
  -6.000    ,   -.1219E-02
  -4.000    ,   -.1216E-02
  -2.000    ,   -.1212E-02
    .000    ,   -.1208E-02
   2.000    ,   -.1206E-02
   4.000    ,   -.1204E-02
   8.000    ,   -.1203E-02
   9.000    ,   -.1204E-02
   10.00    ,   -.1202E-02
   12.00    ,   -.1194E-02
   14.00    ,   -.1181E-02
   16.00    ,   -.1162E-02
   18.00    ,   -.1134E-02
   19.00    ,   -.1116E-02
   20.00    ,   -.1082E-02
   21.00    ,   -.1034E-02
   22.00    ,   -.9825E-03
   24.00    ,   -.9008E-03

Alpha, Q_Qinf
  -16.00    ,    1.000    
  -8.000    ,    .8912    
  -6.000    ,    .9602    
  -4.000    ,    1.000    
  -2.000    ,    1.000    
    .000    ,    1.000    
   2.000    ,    1.000    
   4.000    ,    1.000    
   8.000    ,    1.000    
   9.000    ,    1.000    
   10.00    ,    1.000    
   12.00    ,    1.000    
   14.00    ,    1.000    
   16.00    ,    1.000    
   18.00    ,    1.000    
   19.00    ,    1.000    
   20.00    ,    1.000    
   21.00    ,    1.000    
   22.00    ,    1.000    
   24.00    ,    1.000    

Alpha, Epslon
  -16.00    ,   -5.791    
  -8.000    ,   -2.075    
  -6.000    ,   -1.140    
  -4.000    ,   -.2488    
  -2.000    ,    .6149    
    .000    ,    1.490    
   2.000    ,    2.360    
   4.000    ,    3.225    
   8.000    ,    4.894    
   9.000    ,    5.269    
   10.00    ,    5.637    
   12.00    ,    6.208    
   14.00    ,    6.667    
   16.00    ,    7.029    
   18.00    ,    7.205    
   19.00    ,    7.120    
   20.00    ,    6.897    
   21.00    ,    6.233    
   22.00    ,    5.396    
   24.00    ,    4.553    

Alpha, d_Epslon
  -16.00    ,    .4645    
  -8.000    ,    .4669    
  -6.000    ,    .4566    
  -4.000    ,    .4388    
  -2.000    ,    .4347    
    .000    ,    .4362    
   2.000    ,    .4337    
   4.000    ,    .4275    
   8.000    ,    .3835    
   9.000    ,    .3714    
   10.00    ,    .3404    
   12.00    ,    .2576    
   14.00    ,    .2051    
   16.00    ,    .1345    
   18.00    ,   -.2718E-01
   19.00    ,   -.1544    
   20.00    ,   -.4437    
   21.00    ,   -.7505    
   22.00    ,   -.6987    
   24.00    ,   -.4212    

Alpha, CLq
  -16.00    ,    .1522    
  -8.000    ,    .1522    
  -6.000    ,    .1522    
  -4.000    ,    .1522    
  -2.000    ,    .1522    
    .000    ,    .1522    
   2.000    ,    .1522    
   4.000    ,    .1522    
   8.000    ,    .1522    
   9.000    ,    .1522    
   10.00    ,    .1522    
   12.00    ,    .1522    
   14.00    ,    .1522    
   16.00    ,    .1522    
   18.00    ,    .1522    
   19.00    ,    .1522    
   20.00    ,    .1522    
   21.00    ,    .1522    
   22.00    ,    .1522    
   24.00    ,    .1522    

Alpha, Cmq
  -16.00    ,   -.2492    
  -8.000    ,   -.2492    
  -6.000    ,   -.2492    
  -4.000    ,   -.2492    
  -2.000    ,   -.2492    
    .000    ,   -.2492    
   2.000    ,   -.2492    
   4.000    ,   -.2492    
   8.000    ,   -.2492    
   9.000    ,   -.2492    
   10.00    ,   -.2492    
   12.00    ,   -.2492    
   14.00    ,   -.2492    
   16.00    ,   -.2492    
   18.00    ,   -.2492    
   19.00    ,   -.2492    
   20.00    ,   -.2492    
   21.00    ,   -.2492    
   22.00    ,   -.2492    
   24.00    ,   -.2492    

Alpha, CLad_Basic
  -16.00    ,    .3510E-01
  -8.000    ,    .3144E-01
  -6.000    ,    .3313E-01
  -4.000    ,    .3315E-01
  -2.000    ,    .3284E-01
    .000    ,    .3296E-01
   2.000    ,    .3277E-01
   4.000    ,    .3230E-01
   8.000    ,    .2898E-01
   9.000    ,    .2806E-01
   10.00    ,    .2572E-01
   12.00    ,    .1946E-01
   14.00    ,    .1550E-01
   16.00    ,    .1016E-01
   18.00    ,   -.2053E-02
   19.00    ,   -.1167E-01
   20.00    ,   -.3353E-01
   21.00    ,   -.5670E-01
   22.00    ,   -.5279E-01
   24.00    ,   -.3183E-01

Alpha, Cmad_Basic
  -16.00    ,   -.1061    
  -8.000    ,   -.9502E-01
  -6.000    ,   -.1001    
  -4.000    ,   -.1002    
  -2.000    ,   -.9926E-01
    .000    ,   -.9960E-01
   2.000    ,   -.9904E-01
   4.000    ,   -.9762E-01
   8.000    ,   -.8757E-01
   9.000    ,   -.8480E-01
   10.00    ,   -.7772E-01
   12.00    ,   -.5882E-01
   14.00    ,   -.4683E-01
   16.00    ,   -.3071E-01
   18.00    ,    .6206E-02
   19.00    ,    .3526E-01
   20.00    ,    .1013    
   21.00    ,    .1714    
   22.00    ,    .1595    
   24.00    ,    .9619E-01

Alpha, Clp
  -16.00    ,   -.7650E-02
  -8.000    ,   -.7063E-02
  -6.000    ,   -.6859E-02
  -4.000    ,   -.6653E-02
  -2.000    ,   -.6738E-02
    .000    ,   -.7039E-02
   2.000    ,   -.7303E-02
   4.000    ,   -.7498E-02
   8.000    ,   -.7737E-02
   9.000    ,   -.7239E-02
   10.00    ,   -.6298E-02
   12.00    ,   -.4816E-02
   14.00    ,   -.3420E-02
   16.00    ,   -.1548E-02
   18.00    ,    .8581E-03
   19.00    ,    .5957E-02
   20.00    ,    .1465E-01
   21.00    ,    .1964E-01
   22.00    ,    .1776E-01
   24.00    ,    .7247E-02

Alpha, Cyp
  -16.00    ,   -.6446E-03
  -8.000    ,   -.1072E-02
  -6.000    ,   -.1171E-02
  -4.000    ,   -.1268E-02
  -2.000    ,   -.1364E-02
    .000    ,   -.1460E-02
   2.000    ,   -.1555E-02
   4.000    ,   -.1651E-02
   8.000    ,   -.1855E-02
   9.000    ,   -.1955E-02
   10.00    ,   -.2099E-02
   12.00    ,   -.2372E-02
   14.00    ,   -.2653E-02
   16.00    ,   -.3034E-02
   18.00    ,   -.3638E-02
   19.00    ,   -.1454E-01
   20.00    ,   -.5140E-03
   21.00    ,   -.1285E-02
   22.00    ,   -.1322E-02
   24.00    ,   -.1076E-02

Alpha, Cnp
  -16.00    ,    .2909E-03
  -8.000    ,    .1580E-03
  -6.000    ,    .1150E-03
  -4.000    ,    .5960E-04
  -2.000    ,    .8267E-06
    .000    ,   -.4457E-04
   2.000    ,   -.7403E-04
   4.000    ,   -.9603E-04
   8.000    ,   -.1448E-03
   9.000    ,   -.2952E-03
   10.00    ,   -.5744E-03
   12.00    ,   -.1081E-02
   14.00    ,   -.1590E-02
   16.00    ,   -.2209E-02
   18.00    ,   -.2839E-02
   19.00    ,   -.1963E-02
   20.00    ,   -.6663E-02
   21.00    ,   -.6409E-02
   22.00    ,   -.4810E-02
   24.00    ,   -.2047E-02

Alpha, Cnr
  -16.00    ,   -.8275E-03
  -8.000    ,   -.7745E-03
  -6.000    ,   -.7758E-03
  -4.000    ,   -.7821E-03
  -2.000    ,   -.7927E-03
    .000    ,   -.8079E-03
   2.000    ,   -.8285E-03
   4.000    ,   -.8551E-03
   8.000    ,   -.9275E-03
   9.000    ,   -.9496E-03
   10.00    ,   -.9698E-03
   12.00    ,   -.1004E-02
   14.00    ,   -.1030E-02
   16.00    ,   -.1043E-02
   18.00    ,   -.1037E-02
   19.00    ,   -.1026E-02
   20.00    ,   -.9793E-03
   21.00    ,   -.9093E-03
   22.00    ,   -.8479E-03
   24.00    ,   -.7868E-03

Alpha, Clr
  -16.00    ,   -.3497E-02
  -8.000    ,   -.1073E-02
  -6.000    ,   -.4976E-03
  -4.000    ,    .5472E-04
  -2.000    ,    .5948E-03
    .000    ,    .1162E-02
   2.000    ,    .1754E-02
   4.000    ,    .2366E-02
   8.000    ,    .3626E-02
   9.000    ,    .3944E-02
   10.00    ,    .4217E-02
   12.00    ,    .4651E-02
   14.00    ,    .4975E-02
   16.00    ,    .5166E-02
   18.00    ,    .5164E-02
   19.00    ,    .5079E-02
   20.00    ,    .4606E-02
   21.00    ,    .3766E-02
   22.00    ,    .2861E-02
   24.00    ,    .1748E-02

*****************************
Flap terms
*****************************
Plain flaps
DeltaFlap, CL
  -20.00    ,   -.6476E-01
  -15.00    ,   -.5856E-01
  -10.00    ,   -.4002E-01
  -5.000    ,   -.2001E-01
    .000    ,     .000    
   5.000    ,    .2001E-01
   10.00    ,    .4002E-01
   13.00    ,    .5157E-01
   16.00    ,    .6162E-01

Plain flaps
DeltaFlap, Cm
  -20.00    ,    .2086    
  -15.00    ,    .1871    
  -10.00    ,    .1282    
  -5.000    ,    .6409E-01
    .000    ,     .000    
   5.000    ,   -.6409E-01
   10.00    ,   -.1282    
   13.00    ,   -.1648    
   16.00    ,   -.1970    

Cd_Flaps for Plain flaps
Alpha, DeltaFlap
            ,   -20.00    ,   -15.00    ,   -10.00    ,   -5.000    ,     .000    ,    5.000    ,    10.00    ,    13.00    ,    16.00    
  -16.00    ,    .5945E-02,    .5210E-02,    .3237E-02,    .1444E-02,     .000    ,   -.1095E-02,   -.1842E-02,   -.2114E-02,   -.2256E-02
  -8.000    ,    .3346E-02,    .2862E-02,    .1633E-02,    .6419E-03,     .000    ,   -.2931E-03,   -.2373E-03,   -.4624E-04,    .2148E-03
  -6.000    ,    .2700E-02,    .2278E-02,    .1234E-02,    .4425E-03,     .000    ,   -.9363E-04,    .1616E-03,    .4677E-03,    .8290E-03
  -4.000    ,    .2027E-02,    .1671E-02,    .8186E-03,    .2349E-03,     .000    ,    .1140E-03,    .5768E-03,    .1003E-02,    .1468E-02
  -2.000    ,    .1338E-02,    .1048E-02,    .3930E-03,    .2209E-04,     .000    ,    .3268E-03,    .1002E-02,    .1551E-02,    .2124E-02
    .000    ,    .6550E-03,    .4315E-03,   -.2832E-04,   -.1886E-03,     .000    ,    .5375E-03,    .1424E-02,    .2094E-02,    .2773E-02
   2.000    ,   -.3080E-04,   -.1879E-03,   -.4516E-03,   -.4002E-03,     .000    ,    .7491E-03,    .1847E-02,    .2640E-02,    .3425E-02
   4.000    ,   -.7194E-03,   -.8099E-03,   -.8767E-03,   -.6128E-03,     .000    ,    .9616E-03,    .2272E-02,    .3187E-02,    .4079E-02
   8.000    ,   -.2133E-02,   -.2087E-02,   -.1749E-02,   -.1049E-02,     .000    ,    .1398E-02,    .3145E-02,    .4312E-02,    .5423E-02
   9.000    ,   -.2513E-02,   -.2429E-02,   -.1984E-02,   -.1166E-02,     .000    ,    .1515E-02,    .3379E-02,    .4614E-02,    .5784E-02
   10.00    ,   -.2896E-02,   -.2776E-02,   -.2220E-02,   -.1285E-02,     .000    ,    .1633E-02,    .3616E-02,    .4919E-02,    .6148E-02
   12.00    ,   -.3763E-02,   -.3559E-02,   -.2755E-02,   -.1552E-02,     .000    ,    .1901E-02,    .4151E-02,    .5608E-02,    .6972E-02
   14.00    ,   -.4698E-02,   -.4403E-02,   -.3333E-02,   -.1841E-02,     .000    ,    .2190E-02,    .4728E-02,    .6352E-02,    .7861E-02
   16.00    ,   -.5692E-02,   -.5301E-02,   -.3946E-02,   -.2148E-02,     .000    ,    .2496E-02,    .5342E-02,    .7143E-02,    .8806E-02
   18.00    ,   -.6799E-02,   -.6301E-02,   -.4629E-02,   -.2489E-02,     .000    ,    .2838E-02,    .6025E-02,    .8023E-02,    .9858E-02
   19.00    ,   -.7457E-02,   -.6895E-02,   -.5036E-02,   -.2692E-02,     .000    ,    .3041E-02,    .6431E-02,    .8547E-02,    .1048E-01
   20.00    ,   -.8200E-02,   -.7566E-02,   -.5494E-02,   -.2921E-02,     .000    ,    .3270E-02,    .6889E-02,    .9137E-02,    .1119E-01
   21.00    ,   -.9209E-02,   -.8478E-02,   -.6117E-02,   -.3233E-02,     .000    ,    .3582E-02,    .7512E-02,    .9940E-02,    .1215E-01
   22.00    ,   -.1032E-01,   -.9484E-02,   -.6805E-02,   -.3577E-02,     .000    ,    .3926E-02,    .8201E-02,    .1083E-01,    .1321E-01
   24.00    ,   -.1205E-01,   -.1104E-01,   -.7870E-02,   -.4109E-02,     .000    ,    .4458E-02,    .9265E-02,    .1220E-01,    .1485E-01

*****************************
Aileron terms
*****************************
*****************************
Elevator terms
*****************************
Cd_Elev
Alpha, DeltaElev
            ,   -20.00    ,   -15.00    ,   -10.00    ,   -5.000    ,     .000    ,    5.000    ,    10.00    ,    13.00    ,    16.00    
  -16.00    ,    .5945E-02,    .5210E-02,    .3237E-02,    .1444E-02,   -.2539E-05,   -.1095E-02,   -.1842E-02,   -.2114E-02,   -.2256E-02
  -8.000    ,    .3346E-02,    .2862E-02,    .1633E-02,    .6419E-03,   -.9344E-06,   -.2931E-03,   -.2373E-03,   -.4624E-04,    .2148E-03
  -6.000    ,    .2700E-02,    .2278E-02,    .1234E-02,    .4425E-03,   -.5355E-06,   -.9363E-04,    .1616E-03,    .4677E-03,    .8290E-03
  -4.000    ,    .2027E-02,    .1671E-02,    .8186E-03,    .2349E-03,   -.1202E-06,    .1140E-03,    .5768E-03,    .1003E-02,    .1468E-02
  -2.000    ,    .1338E-02,    .1048E-02,    .3930E-03,    .2209E-04,    .3054E-06,    .3268E-03,    .1002E-02,    .1551E-02,    .2124E-02
    .000    ,    .6550E-03,    .4315E-03,   -.2832E-04,   -.1886E-03,    .7268E-06,    .5375E-03,    .1424E-02,    .2094E-02,    .2773E-02
   2.000    ,   -.3080E-04,   -.1879E-03,   -.4516E-03,   -.4002E-03,    .1150E-05,    .7491E-03,    .1847E-02,    .2640E-02,    .3425E-02
   4.000    ,   -.7194E-03,   -.8099E-03,   -.8767E-03,   -.6128E-03,    .1575E-05,    .9616E-03,    .2272E-02,    .3187E-02,    .4079E-02
   8.000    ,   -.2133E-02,   -.2087E-02,   -.1749E-02,   -.1049E-02,    .2448E-05,    .1398E-02,    .3145E-02,    .4312E-02,    .5423E-02
   9.000    ,   -.2513E-02,   -.2429E-02,   -.1984E-02,   -.1166E-02,    .2683E-05,    .1515E-02,    .3379E-02,    .4614E-02,    .5784E-02
   10.00    ,   -.2896E-02,   -.2776E-02,   -.2220E-02,   -.1285E-02,    .2920E-05,    .1633E-02,    .3616E-02,    .4919E-02,    .6148E-02
   12.00    ,   -.3763E-02,   -.3559E-02,   -.2755E-02,   -.1552E-02,    .3453E-05,    .1901E-02,    .4151E-02,    .5608E-02,    .6972E-02
   14.00    ,   -.4698E-02,   -.4403E-02,   -.3333E-02,   -.1841E-02,    .4031E-05,    .2190E-02,    .4728E-02,    .6352E-02,    .7861E-02
   16.00    ,   -.5692E-02,   -.5301E-02,   -.3946E-02,   -.2148E-02,    .4650E-05,    .2496E-02,    .5342E-02,    .7143E-02,    .8806E-02
   18.00    ,   -.6799E-02,   -.6301E-02,   -.4629E-02,   -.2489E-02,    .5328E-05,    .2838E-02,    .6025E-02,    .8023E-02,    .9858E-02
   19.00    ,   -.7457E-02,   -.6895E-02,   -.5036E-02,   -.2692E-02,    .5729E-05,    .3041E-02,    .6431E-02,    .8547E-02,    .1048E-01
   20.00    ,   -.8200E-02,   -.7566E-02,   -.5494E-02,   -.2921E-02,    .6195E-05,    .3270E-02,    .6889E-02,    .9137E-02,    .1119E-01
   21.00    ,   -.9209E-02,   -.8478E-02,   -.6117E-02,   -.3233E-02,    .6812E-05,    .3582E-02,    .7512E-02,    .9940E-02,    .1215E-01
   22.00    ,   -.1032E-01,   -.9484E-02,   -.6805E-02,   -.3577E-02,    .7499E-05,    .3926E-02,    .8201E-02,    .1083E-01,    .1321E-01
   24.00    ,   -.1205E-01,   -.1104E-01,   -.7870E-02,   -.4109E-02,    .8561E-05,    .4458E-02,    .9265E-02,    .1220E-01,    .1485E-01

DeltaElev, CL_Elev
  -20.00    ,   -.6476E-01
  -15.00    ,   -.5856E-01
  -10.00    ,   -.4002E-01
  -5.000    ,   -.2001E-01
    .000    ,    .4002E-04
   5.000    ,    .2001E-01
   10.00    ,    .4002E-01
   13.00    ,    .5157E-01
   16.00    ,    .6162E-01

DeltaElev, Cm_Elev
  -20.00    ,    .2086    
  -15.00    ,    .1871    
  -10.00    ,    .1282    
  -5.000    ,    .6409E-01
    .000    ,   -.1282E-03
   5.000    ,   -.6409E-01
   10.00    ,   -.1282    
   13.00    ,   -.1648    
   16.00    ,   -.1970    

DeltaElev, CLa_Elev
  -20.00    ,     .000    
  -15.00    ,     .000    
  -10.00    ,     .000    
  -5.000    ,     .000    
    .000    ,     .000    
   5.000    ,     .000    
   10.00    ,     .000    
   13.00    ,     .000    
   16.00    ,     .000    

DeltaElev, Cha_Elev
  -20.00    ,    .2169E-02
  -15.00    ,    .2169E-02
  -10.00    ,    .2169E-02
  -5.000    ,    .2169E-02
    .000    ,    .2169E-02
   5.000    ,    .2169E-02
   10.00    ,    .2169E-02
   13.00    ,    .2169E-02
   16.00    ,    .2169E-02

DeltaElev, Chd_Elev
  -20.00    ,    .1730E-01
  -15.00    ,    .1723E-01
  -10.00    ,    .1723E-01
  -5.000    ,    .1723E-01
    .000    ,    .1723E-01
   5.000    ,    .1723E-01
   10.00    ,    .1723E-01
   13.00    ,    .1723E-01
   16.00    ,    .1724E-01



